Document : 1

Topic 0:	5.148200222412013e-131
Topic 1:	5.148200222412013e-131
Topic 2:	5.148200222412013e-131
Topic 3:	1.0
Topic 4:	5.148200222412013e-131
Topic 5:	5.148200222412013e-131
Topic 6:	5.148200222412013e-131
Topic 7:	5.148200222412013e-131
Topic 8:	5.148200222412013e-131
Topic 9:	4.065171291747877e-117
Topic 10:	5.148200222412013e-131
Topic 11:	5.148200222412013e-131
Topic 12:	5.148200222412013e-131
Topic 13:	5.148200222412013e-131
Topic 14:	5.148200222412013e-131
Topic 15:	5.148200222412013e-131
Topic 16:	5.148200222412013e-131
Topic 17:	5.148200222412013e-131
Topic 18:	5.148200222412013e-131
Topic 19:	5.148200222412013e-131


Document : 2

Topic 0:	7.47197233734299e-43
Topic 1:	7.47197233734299e-43
Topic 2:	7.47197233734299e-43
Topic 3:	1.0
Topic 4:	7.47197233734299e-43
Topic 5:	7.47197233734299e-43
Topic 6:	7.47197233734299e-43
Topic 7:	7.47197233734299e-43
Topic 8:	7.47197233734299e-43
Topic 9:	2.031092662734811e-42
Topic 10:	7.47197233734299e-43
Topic 11:	3.975449735908647e-31
Topic 12:	4.0795586671775603e-41
Topic 13:	7.47197233734299e-43
Topic 14:	7.47197233734299e-43
Topic 15:	7.47197233734299e-43
Topic 16:	7.47197233734299e-43
Topic 17:	7.47197233734299e-43
Topic 18:	7.47197233734299e-43
Topic 19:	7.47197233734299e-43


Document : 3

Topic 0:	2.7086952666810816e-76
Topic 1:	2.7086952666810816e-76
Topic 2:	2.7086952666810816e-76
Topic 3:	1.0
Topic 4:	2.7086952666810816e-76
Topic 5:	2.7086952666810816e-76
Topic 6:	2.7086952666810816e-76
Topic 7:	2.7086952666810816e-76
Topic 8:	2.7086952666810816e-76
Topic 9:	5.301718666092324e-65
Topic 10:	2.7086952666810816e-76
Topic 11:	2.7086952666810816e-76
Topic 12:	2.7086952666810816e-76
Topic 13:	2.7086952666810816e-76
Topic 14:	2.7086952666810816e-76
